name,prefecture,url,kencd,beginner_pct,intermediate_pct,advanced_pct,fetched_at
富山県  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?kencd=30,10,40,40,20,2026-01-17T18:14:29
石川県  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?kencd=31,10,50,30,20,2026-01-17T18:14:32
島根県  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?kencd=41,10,30,50,20,2026-01-17T18:14:34
京都府  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?kencd=35,10,40,40,20,2026-01-17T18:14:38
道東  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=2,10,30,40,30,2026-01-17T18:14:40
関東甲信越  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdl=3,10,30,40,30,2026-01-17T18:14:43
岩手  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=5,10,30,40,30,2026-01-17T18:14:46
中国・四国・九州  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdl=7,10,30,40,30,2026-01-17T18:14:48
福島  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=9,10,30,40,30,2026-01-17T18:14:51
道央・道南  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=3,10,30,40,30,2026-01-17T18:14:53
青森  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=4,10,55,35,10,2026-01-17T18:14:56
中京  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdl=4,10,45,40,15,2026-01-17T18:14:58
北陸  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdl=5,10,30,40,30,2026-01-17T18:15:01
北海道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdl=1,10,40,40,20,2026-01-17T18:15:04
秋田  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=6,10,20,60,20,2026-01-17T18:15:07
宮城  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=7,10,25,45,30,2026-01-17T18:15:09
道北  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=1,10,40,40,20,2026-01-17T18:15:11
東北  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdl=2,10,30,40,30,2026-01-17T18:15:13
関西  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdl=6,10,30,40,30,2026-01-17T18:15:15
山形  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=8,10,30,40,30,2026-01-17T18:15:17
兵庫  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=26,10,40,40,20,2026-01-17T18:15:20
軽井沢・菅平  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=18,10,20,60,20,2026-01-17T18:15:22
京都・三重  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=27,10,40,40,20,2026-01-17T18:15:25
九州  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=31,10,40,40,20,2026-01-17T18:15:27
滋賀  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=25,10,30,40,30,2026-01-17T18:15:29
妙高・上越  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=15,10,40,40,20,2026-01-17T18:15:32
南信州  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=33,10,70,20,10,2026-01-17T18:15:34
奥美濃  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=34,10,45,40,15,2026-01-17T18:15:37
斑尾・野沢・飯綱  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=16,10,30,35,35,2026-01-17T18:15:40
白馬  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=20,10,30,50,20,2026-01-17T18:15:42
志賀高原・北志賀  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=19,10,35,40,25,2026-01-17T18:15:49
